plz,stadt,mietstufe,max_kalt_1p,heiz_pausch_1p,klima_pausch_1p,gesamt_deckel_1p,amt_name,amt_adresse,amt_email,slug,bundesland,seo_title,seo_meta_desc,daten_valide
10115,Berlin,4,495.00,54.00,18.00,567.00,Wohngeldbehörde Berlin,"Karl-Marx-Allee 31, 10178 Berlin",wohngeld@ba-mitte.berlin.de,berlin,Berlin,Wohngeld Rechner Berlin | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Berlin (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
20095,Hamburg,6,602.00,54.00,18.00,674.00,Bezirksamt HH-Mitte,"Klosterwall 8, 20095 Hamburg",wohngeld@hamburg-mitte.de,hamburg,Hamburg,Wohngeld Rechner Hamburg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Hamburg (Mietstufe 6). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
80331,München,7,674.00,54.00,18.00,746.00,Amt für Wohnen München,"Franziskanerstr. 8, 81669 München",wohngeld.sfa@muenchen.de,muenchen,Bayern,Wohngeld Rechner München | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für München (Mietstufe 7). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
50667,Köln,6,598.00,54.00,18.00,670.00,Wohngeldstelle Köln,"Ottoplatz 1, 50679 Köln",wohngeld@stadt-koeln.de,koeln,Nordrhein-Westfalen,Wohngeld Rechner Köln | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Köln (Mietstufe 6). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
60311,Frankfurt,6,620.00,54.00,18.00,692.00,Wohngeldbehörde Frankfurt,"Battonnstraße 12, 60311 Frankfurt",wohngeld@stadt-frankfurt.de,frankfurt,Hessen,Wohngeld Rechner Frankfurt | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Frankfurt (Mietstufe 6). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
70173,Stuttgart,5,550.00,54.00,18.00,622.00,Sozialamt Stuttgart,"Eberhardstraße 37, 70173 Stuttgart",sozialamt@stuttgart.de,stuttgart,Baden-Württemberg,Wohngeld Rechner Stuttgart | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Stuttgart (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
40210,Düsseldorf,5,535.00,54.00,18.00,607.00,Amt für soziale Sicherung,"Willi-Becker-Allee 8, 40227 Düsseldorf",wohngeld@duesseldorf.de,duesseldorf,Nordrhein-Westfalen,Wohngeld Rechner Düsseldorf | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Düsseldorf (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
44135,Dortmund,4,470.00,54.00,18.00,542.00,Sozialamt Dortmund,"Südwall 2–4, 44137 Dortmund",sozialamt@dortmund.de,dortmund,Nordrhein-Westfalen,Wohngeld Rechner Dortmund | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Dortmund (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
45127,Essen,4,465.00,54.00,18.00,537.00,Amt für Soziales und Wohnen,"Steinstraße 2, 45128 Essen",sozialamt@essen.de,essen,Nordrhein-Westfalen,Wohngeld Rechner Essen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Essen (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
34117,Kassel,4,480.00,54.00,18.00,552.00,Wohngeldstelle Kassel,"Kurt-Schumacher-Straße 25, 34117 Kassel",wohngeld@kassel.de,kassel,Hessen,Wohngeld Rechner Kassel | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Kassel (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
